,author_id,gender,works_count
1108,9212,female,42
1109,54493,female,72
1110,33017,male,45
1111,48206,female,32
1112,142270,male,30
1113,625,female,779
1114,40593,female,13
1115,16218,male,36
1116,18411,male,168
1117,6429,male,19
1118,55547,male,84
1119,38550,male,240
1120,40563,female,94
1121,11349,female,545
1122,427437,female,3
1123,9355,None,431
1124,43530,female,74
1125,23511,female,92
1126,517286,female,15
1127,2546,male,100
1128,167605,male,85
1129,4330590,female,106
1130,12577,male,97
1131,1411964,male,168
1132,556546,None,4
1133,3502,None,79
1134,2904306,male,4
1135,17015,female,116
1136,9556,female,42
1137,1239,female,135
1138,13370,female,26
1139,188932,male,41
1140,5142414,female,4
1141,17065,None,144
1142,10991,male,326
1143,18178526,None,1
1144,18282,female,51
1145,3389,male,1607
1146,28509,female,133
1147,1411964,male,168
1148,20258,female,76
1149,4738,male,336
1150,486041,female,11
1151,54493,female,72
1152,3389,male,1607
1153,7031,male,83
1154,3617,female,152
1155,346732,male,908
1156,88301,None,42
1157,1405152,male,58
1158,6435350,female,9
1159,13522695,female,3
1160,97313,female,24
1161,615274,None,24
1162,7103,male,77
1163,375626,female,92
1164,18411,male,168
1165,17065,None,144
1166,26372,female,83
1167,5989255,None,11
1168,5094344,female,3
1169,5091,male,227
1170,3099070,male,8
1171,6268,female,132
1172,1064072,None,126
1173,2878860,male,58
1174,169377,male,15
1175,4838933,female,28
1176,3390621,female,14
1177,4503149,None,5
1178,14002,male,129
1179,253901,female,10
1180,12470,male,235
1181,13757,female,192
1182,1074866,male,26
1183,12470,male,235
1184,40563,female,94
1185,3780,male,648
1186,6218,female,157
1187,23613,female,58
1188,625,female,779
1189,5010374,female,25
1190,27498,female,292
1191,3530,female,44
1192,290189,female,15
1193,10517,male,216
1194,292970,None,8
1195,1612,male,241
1196,4738,male,336
1197,43948,female,30
1198,2423,female,791
1199,16961,female,165
1200,18411,male,168
1201,6538289,male,109
1202,43613,female,37
1203,88301,None,42
1204,16094,female,115
1205,55215,male,55
1206,1330292,female,55
1207,88924,female,54
1208,18819,female,54
1209,6876,None,13
1210,20258,female,76
1211,10039,male,68
1212,25334,female,26
1213,27017,male,33
1214,4430,None,191
1215,29085,None,55
1216,9629,male,188
1217,903,male,1246
1218,221833,male,36
1219,40563,female,94
1220,14255,female,293
1221,5192439,female,82
1222,281810,female,64
1223,4601855,female,221
1224,36492,female,180
1225,2238,female,123
1226,88506,male,260
1227,3780,male,648
1228,17133759,None,4
1229,1441,male,113
1230,6268,female,132
1231,1226977,None,102
1232,2345,male,110
1233,6218,female,157
1234,14358948,female,6
1235,14610,male,164
1236,3532,female,180
1237,3670,female,52
1238,545,male,79
1239,27017,male,33
1240,1953433,male,28
1241,11349,female,545
1242,4738,male,336
1243,20850,male,113
1244,8136264,None,160
1245,6331,female,256
1246,721,male,264
1247,18149,female,101
1248,17148,female,54
1249,5091,male,227
1250,88301,None,42
1251,3780,male,648
1252,634694,male,6
1253,10896,male,122
1254,545,male,79
1255,8214,male,45
1256,6897756,male,22
1257,535902,male,42
1258,23510,male,207
1259,577112,None,17
1260,12577,male,97
1261,11746,female,47
1262,43626,male,101
1263,9219,female,41
1264,9291,male,126
1265,305400,female,40
1266,4430,None,191
1267,157146,female,14
1268,1648,male,32
1269,5194,male,128
1270,3621,male,77
1271,4738,male,336
1272,4678962,male,9
1273,14255,female,293
1274,54493,female,72
1275,27932,male,59
1276,2936493,female,59
1277,97313,female,24
1278,2384,female,114
1279,3532,female,180
1280,88301,None,42
1281,383606,female,13
1282,47072,male,10
1283,14425604,None,7
1284,2046,female,46
1285,10482,None,64
1286,27017,male,33
1287,195905,None,19
1288,5023,None,32
1289,14989,male,36
1290,1983563,female,20
1291,25307,female,243
1292,54493,female,72
1293,23511,female,92
1294,9212,female,42
1295,2783820,male,30
1296,19811,female,83
1297,7710,female,129
1298,99044,female,303
1299,3447,None,185
