,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
9200,THE TEA GIRL OF HUMMINGBIRD LANE,Lisa See,Scribner,"A woman from rural China eventually moves to California, where the daughter she gave up for adoption lives.",10,4,THE+TEA+GIRL+OF+HUMMINGBIRD+LANE
9206,"ALL BY MYSELF, ALONE",Mary Higgins Clark,Simon & Schuster,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace has disappeared.",12,6,"ALL+BY+MYSELF,+ALONE"
9207,THE CHOSEN,J R Ward,Ballantine,Book 15 of the Black Dagger Brotherhood series.,3,1,THE+CHOSEN
9208,THE LOST ORDER,Steve Berry,Minotaur,"In the 12th Cotton Malone thriller, the former Justice Department operative pursues current and historical conspiracies.",13,3,THE+LOST+ORDER
9216,EARTHLY REMAINS,Donna Leon,Atlantic Monthly,The 26th Commissario Guido Brunetti mystery.,12,1,EARTHLY+REMAINS
9218,PRUSSIAN BLUE,Philip Kerr,Marian Wood/Putnam,"In the 12th Bernie Gunther novel, the action takes place both at Hitler’s villa, the Berghof, in 1939 and in Cannes in 1956.",14,1,PRUSSIAN+BLUE
9220,THE BLACK BOOK,James Patterson and David Ellis,"Little, Brown","After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.",1,7,THE+BLACK+BOOK
9221,THRAWN,Timothy Zahn,Del Rey,"The origins of Grand Admiral Thrawn, an iconic “Star Wars” villain.",12,3,THRAWN
9223,ONE PERFECT LIE,Lisa Scottoline,St. Martin's,A high school baseball coach hiding his real identity poses a threat to an idyllic suburban community.,13,4,ONE+PERFECT+LIE
9224,THE BURIAL HOUR,Jeffery Deaver,Grand Central,Lincoln Rhyme travels to Italy to investigate a case.,5,1,THE+BURIAL+HOUR
9225,TWO FROM THE HEART,"James Patterson and Frank Costantini, Emily Raymond and Brian Sitts","Little, Brown",Two stories about the power of stories.,15,3,TWO+FROM+THE+HEART
9227,SONG OF THE LION,Anne Hillerman,Harper,"The third Southwestern mystery featuring the Navajo police officer Bernadette Manuelito and her husband, Jim Chee.",8,1,SONG+OF+THE+LION
9229,MISSISSIPPI BLOOD,Greg Iles,Morrow/HarperCollins,"Penn Cage, now the mayor of Natchez, Miss., investigates the secrets of his family and the South in the conclusion to the Natchez Burning trilogy.",1,5,MISSISSIPPI+BLOOD
9234,THE NIGHT THE LIGHTS WENT OUT,Karen White,Berkley,"A single mother moves to a wealthy Atlanta suburb in search of a fresh start, but the other women’s knives are out.",15,1,THE+NIGHT+THE+LIGHTS+WENT+OUT
9235,THE FIX,David Baldacci,Grand Central,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,1,9,THE+FIX
9237,FAST AND LOOSE,Stuart Woods,Putnam,"In the 41st Stone Barrington novel, the New York attorney acquires a ruthless, hot-headed enemy.",11,2,FAST+AND+LOOSE
9239,"ALL BY MYSELF, ALONE",Mary Higgins Clark,Simon & Schuster,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace is gone.",12,6,"ALL+BY+MYSELF,+ALONE"
9245,THE STARS ARE FIRE,Anita Shreve,Knopf,A young mother remakes her life after a fire in postwar coastal Maine.,11,2,THE+STARS+ARE+FIRE
9249,FALLOUT,Sara Paretsky,Morrow/HarperCollins,"V .I. Warshawski, the Chicago P.I. follows a case to Lawrence, Kan., where the past turns out to be very present.",15,1,FALLOUT
9250,GOLDEN PREY,John Sandford,Putnam,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",1,6,GOLDEN+PREY
9253,ANYTHING IS POSSIBLE,Elizabeth Strout,Random House,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",12,5,ANYTHING+IS+POSSIBLE
9254,BEARTOWN,Fredrik Backman,Atria,"Its hockey team’s success will revive a dying town, but its star is caught up in a scandal.",10,2,BEARTOWN
9265,16TH SEDUCTION,James Patterson and Maxine Paetro,"Little, Brown","In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.",1,7,16TH+SEDUCTION
9266,INTO THE WATER,Paula Hawkins,Riverhead,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",1,9,INTO+THE+WATER
9267,AGAINST ALL ODDS,Danielle Steel,Delacorte,A mother must learn to let her adult children make their own decisions.,10,4,AGAINST+ALL+ODDS
9270,THE BROKEN ROAD,Richard Paul Evans,Simon & Schuster,A successful man who is questioning his life gets a second chance. The first book in a new trilogy.,6,1,THE+BROKEN+ROAD
9274,BEARTOWN,Fredrik Backman,Atria,A hockey star is caught up in a scandal.,10,2,BEARTOWN
9275,ROBERT B. PARKER'S LITTLE WHITE LIES,Ace Atkins,Putnam,"Spenser is on the trail of a con man who has duped lovers, investors and military contractors; a continuation of the series by Parker, who died in 2010.",11,1,ROBERT+B.+PARKER%27S+LITTLE+WHITE+LIES
9285,THE THIRST,Jo Nesbo,Knopf,Retired Inspector Harry Hole is drawn back to the Crime Squad by the case of a serial killer who targets women who use Tinder — and apparently bites them to death.,13,2,THE+THIRST
9286,SINCE WE FELL,Dennis Lehane,Ecco/HarperCollins,"A woman struggles to understand who she really is, first searching for her father, then coping with a breakdown.",12,3,SINCE+WE+FELL
9287,MEN WITHOUT WOMEN,Haruki Murakami,Knopf,Seven stories by the Japanese writer.,8,1,MEN+WITHOUT+WOMEN
9289,A DOG'S WAY HOME,W Bruce Cameron,Forge/Tom Doherty,"Separated from the man who rescued her as a puppy, a dog sets out across 400 miles of wilderness.",10,2,A+DOG%27S+WAY+HOME
9294,ASSASSIN'S FATE,Robin Hobb,Del Rey,Book 3 of the Fitz and the Fool trilogy.,15,1,ASSASSIN%27S+FATE
9296,NO MIDDLE NAME,Lee Child,Delacorte,A complete collection of Jack Reacher stories.,13,6,NO+MIDDLE+NAME
9298,"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,Morrow,Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,13,4,"SAME+BEACH,+NEXT+YEAR"
9300,TESTIMONY,Scott Turow,Grand Central,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,10,5,TESTIMONY
9301,GWENDY'S BUTTON BOX,Stephen King and Richard Chizmar,Cemetery Dance,"King returns to Castle Rock, Me., in this novella set in 1974.",13,3,GWENDY%27S+BUTTON+BOX
9304,FULL WOLF MOON,Lincoln Child,Doubleday,Could hikers in the Adirondacks have been killed by werewolfs?,10,1,FULL+WOLF+MOON
9311,DRAGON TEETH,Michael Crichton,Harper/HarperCollins,"A college student joins a fossil-hunting expedition in the 19th-century West and is caught up in the rivalry between two paleontologists. A recently discovered manuscript by Crichton, who died in 2008.",12,7,DRAGON+TEETH
9317,THE FROZEN HOURS,Jeff Shaara,Ballantine,"A fictional account of the Battle of Choisin Reservoir during the Korean War, where Americans battled Chinese forces and brutal temperatures.",8,1,THE+FROZEN+HOURS
9321,RICH PEOPLE PROBLEMS,Kevin Kwan,Doubleday,"A family battles over money in the final installment of the trilogy including ""Crazy Rich Asians"" and ""China Rich Girlfriend.""",12,1,RICH+PEOPLE+PROBLEMS
9325,COME SUNDOWN,Nora Roberts,St. Martin's,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",1,5,COME+SUNDOWN
9327,DRAGON TEETH,Michael Crichton,Harper/HarperCollins,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",12,7,DRAGON+TEETH
9328,NIGHTHAWK,Clive Cussler and Graham Brown,Putnam,The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,4,3,NIGHTHAWK
9330,BEREN AND LÚTHIEN,JRR Tolkien,Houghton Mifflin Harcourt,"The love of a mortal man for an immortal elf, which figures in “The Silmarillion” and is part of the back story of “Lord of the Rings.” Edited by Christopher Tolkien.",11,2,BEREN+AND+LÚTHIEN
9338,YOU WILL PAY,Lisa Jackson,Kensington,"Twenty years later, survivors probe the disappearance of two teenage girls from a religious camp.",14,1,YOU+WILL+PAY
9340,CAMINO ISLAND,John Grisham,Doubleday,A search for stolen rare manuscripts leads to a Florida island.,1,9,CAMINO+ISLAND
9344,LOVE STORY,Karen Kingsbury,Howard,How John and Elizabeth Baxter fell in love.,5,1,LOVE+STORY
9346,THE MINISTRY OF UTMOST HAPPINESS,Arundhati Roy,Knopf,A sprawling novel of modern India by the author of “The God of Small Things.”,11,4,THE+MINISTRY+OF+UTMOST+HAPPINESS
9349,INDECENT EXPOSURE,Stuart Woods,Putnam,Rekindling a romance with an old girlfriend who is now secretary of state exposes the New York lawyer Stone Barrington to unwanted attention.,10,1,INDECENT+EXPOSURE
9354,MAGPIE MURDERS,Anthony Horowitz,HarperCollins,A novel within a novel pays homage to and updates Agatha Christie-style mysteries.,15,2,MAGPIE+MURDERS
9356,THE IDENTICALS,Elin Hilderbrand,"Little, Brown","Complications in the lives of identical twins who were raised by their divorced parents, one on Nantucket, one on Martha’s Vineyard.",10,8,THE+IDENTICALS
9357,TOM CLANCY: POINT OF CONTACT,Mike Maden,Putnam,Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.),11,6,TOM+CLANCY:+POINT+OF+CONTACT
9365,THE RISE AND FALL OF D. O. D. O.,Neal Stephenson and Nicole Galland,Morrow/HarperCollins,"A near-future thriller combines science, magic and mystery.",11,1,THE+RISE+AND+FALL+OF+D.+O.+D.+O
9371,THE SILENT CORNER,Dean Koontz,Bantam,"An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.",11,5,THE+SILENT+CORNER
9374,DANGEROUS MINDS,Janet Evanovich,Bantam,"Emerson Knight, an eccentric millionaire, and Riley Moon, a financial analyst, search for a missing island.",11,3,DANGEROUS+MINDS
9376,KISS CARLO,Adriana Trigiani,Harper/HarperCollins,"Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.",14,4,KISS+CARLO
9379,THE FORCE,Don Winslow,Morrow/HarperCollins,"A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars while they're at it.",10,2,THE+FORCE
9381,BEACH HOUSE FOR RENT,Mary Alice Monroe,Gallery Books,A woman who has rented out her South Carolina beach house for the summer winds up sharing it with her tenant when is faced with a tragedy.,12,1,BEACH+HOUSE+FOR+RENT
9386,MURDER GAMES,James Patterson and Howard Roughan,"Little, Brown",An expert on serial murder becomes involved in the hunt for a New York City killer.,10,6,MURDER+GAMES
9387,USE OF FORCE,Brad Thor,Atria/Emily Bestler,The counterterrorism operative Scot Harvath is called in when a missing terrorism suspect drowns off the Italian coast.,11,5,USE+OF+FORCE
9388,THE DUCHESS,Danielle Steel,Delacorte,"A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make a new life.",15,5,THE+DUCHESS
9389,SEVEN STONES TO STAND OR FALL,Diana Gabaldon,Delacorte,A collection of Outlander short fiction.,13,3,SEVEN+STONES+TO+STAND+OR+FALL
9390,THE IDENTICALS,Elin Hilderbrand,"Little, Brown",Complications in the lives of identical twins who were raised separately by divorced parents on Nantucket and Martha’s Vineyard.,10,8,THE+IDENTICALS
9406,WIRED,Julie Garwood,Berkley,An F.B.I. agent recruits an idealistic (and beautiful) hacker to help him find a leaker.,7,1,WIRED
9409,THE FORCE,Don Winslow,Morrow/HarperCollins,"A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars.",10,2,THE+FORCE
9415,HOUSE OF SPIES,Daniel Silva,Harper,"Gabriel Allon, the Israeli art restorer and spy, now the head of Israel’s secret intelligence service, pursues an ISIS mastermind.",1,6,HOUSE+OF+SPIES
9424,TWO NIGHTS,Kathy Reichs,Bantam,"Sunday Night, the heroine of a new series from the creator of Temperance Brennan, searches for a girl who may have been kidnapped by a cult.",10,1,TWO+NIGHTS
9426,SECRETS OF THE TULIP SISTERS,Susan Mallery,HQN,Sisters reconnect when one returns to their tulip-centered hometown.,12,1,SECRETS+OF+THE+TULIP+SISTERS
9428,DOWN A DARK ROAD,Linda Castillo,Minotaur,"Kate Burkholder, an Amish-born (but excommunicated) chief of police, believes that an old friend accused of his wife’s murder may be innocent.",14,1,DOWN+A+DARK+ROAD
9430,THE LATE SHOW,Michael Connelly,"Little, Brown","Renée Ballard, a young detective with the L.A.P.D., investigates crimes against two women",1,7,THE+LATE+SHOW
9439,THE BREAKDOWN,B A Paris,St. Martin's,"In this psychological thriller, a woman is plagued by guilt over not having stopped to help a driver who turns out to have been murdered, and by fear of early-onset dementia.",10,2,THE+BREAKDOWN
9441,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,"A prominent South Carolina lawyer, researching her grandmother’s past, learns about a real-life Tennessee orphanage that kidnapped children and placed them for adoption with wealthy people.",10,9,BEFORE+WE+WERE+YOURS
9442,WATCH ME DISAPPEAR,Janelle Brown,Spiegel & Grau,"When a Berkeley woman vanishes after a hiking trip, her husband and daughter discover disturbing secrets.",13,1,WATCH+ME+DISAPPEAR
9443,MEDDLING KIDS,Edgar Cantero,Doubleday,Four old friends return to the site of their teenage adventures.,14,1,MEDDLING+KIDS
9447,THE LYING GAME,Ruth Ware,Scout,Four school friends reunite as their long-held secret threatens to emerge.,11,6,THE+LYING+GAME
9448,PARADISE VALLEY,C J Box,Minotaur,A North Dakota investigator pursues a trucker who preys on prostitutes.,13,3,PARADISE+VALLEY
9451,THE PAINTED QUEEN,Elizabeth Peters and Joan Hess,Morrow,"The final adventure in the series featuring Amelia Peabody and her archaeologist husband, Radcliffe Emerson.",7,1,THE+PAINTED+QUEEN
9454,THE IDENTICALS,Elin Hilderbrand,"Little, Brown",Complications in the lives of identical twins who were raised separately on Nantucket and Martha’s Vineyard.,10,8,THE+IDENTICALS
9456,DEADFALL,Linda Fairstein,Dutton,The Manhattan prosecutor Alexandra Cooper becomes a suspect.,12,1,DEADFALL
9457,BATTLEFRONT II: INFERNO SQUAD,Christie Golden,Del Rey,A prequel to the “Star Wars” video game Battlefront II features the Imperial soldiers of Inferno Squad.,13,1,BATTLEFRONT+II:+INFERNO+SQUAD
9467,MRS. FLETCHER,Tom Perrotta,Scribner,A divorced woman has a sexual awakening in the digital age.,11,4,MRS.+FLETCHER
9468,CRIME SCENE,Jonathan Kellerman and Jesse Kellerman,Ballantine,"Clay Edison, a deputy coroner and former star athlete, investigates a possible murder.",15,2,CRIME+SCENE
9471,DRAGONSWORN,Sherrilyn Kenyon,St. Martin's,The granddaughter of a Greek god must stop him from destroying her people by getting a weapon that is in the possession of a dragon.,12,1,DRAGONSWORN
9472,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,"A prominent South Carolina lawyer, researching her grandmother’s past, learns about a Tennessee orphanage that kidnapped children and placed them for adoption with wealthy people.",10,9,BEFORE+WE+WERE+YOURS
9473,DEVIL'S CUT,J R Ward,Ballantine,The final book in the Bourbon Kings series.,14,1,DEVIL%27S+CUT
9475,ANY DREAM WILL DO,Debbie Macomber,Ballantine,"As Shay Benson begins her life anew, building a relationship with Pastor Drew Douglas, her brother's return threatens to undo it.",1,4,ANY+DREAM+WILL+DO
9479,BARELY LEGAL,Stuart Woods and Parnell Hall,Putnam,"Herbie Fisher, the protégé of Stone Barrington, becomes a partner at a law firm and finds himself in a web of deceit.",5,1,BARELY+LEGAL
9480,THE LAST TUDOR,Philippa Gregory,Touchstone,"The youngest Grey sister, Mary, is left to face her ruthless cousin, Queen Elizabeth.",6,1,THE+LAST+TUDOR
9481,THE GOOD DAUGHTER,Karin Slaughter,Morrow,The lawyer Charlotte Quinn is challenged when violence returns to her hometown of Pikesville.,12,3,THE+GOOD+DAUGHTER
9486,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,"A South Carolina lawyer, researching her grandmother’s past, learns about a Tennessee orphanage that kidnapped children and placed them for adoption with wealthy people.",10,9,BEFORE+WE+WERE+YOURS
9488,THE PARIS SPY,Susan Elia MacNeal,Bantam,American-born spy Maggie Hope searches for her half sister in Nazi-occupied France during World War II.,14,1,THE+PARIS+SPY
9490,SEEING RED,Sandra Brown,Grand Central,The TV journalist Kerra Bailey and former federal agent John Trapper join forces to expose a web of conspiracy behind a hotel bombing in Dallas.,1,4,SEEING+RED
9491,THE STORE,James Patterson and Richard DiLallo,"Little, Brown",Two New York writers go undercover to expose the secrets of a powerful retailer.,10,4,THE+STORE
9493,THE LATE SHOW,Michael Connelly,"Little, Brown","Renée Ballard, a young detective with the L.A.P.D., investigates crimes against two women.",1,7,THE+LATE+SHOW
9495,EXPOSED,Lisa Scottoline,St. Martin's,"Bennie Rosato and Mary DiNunzio find themselves on opposite sides of a lawsuit, threatening their friendship and their law firm.",10,2,EXPOSED
9497,I KNOW A SECRET,Tess Gerritsen,Ballantine,Rizzoli and Isles investigate two separate homicides and uncover other dangerous mysteries.,8,1,I+KNOW+A+SECRET
9499,A STRANGER IN THE HOUSE,Shari Lapena,Pamela Dorman,Karen Krupp's life is turned upside down when she suffers amnesia because of a car crash.,10,2,A+STRANGER+IN+THE+HOUSE
9505,Y IS FOR YESTERDAY,Sue Grafton,Marian Wood/Putnam,The 25th Kinsey Millhone mystery novel. A former student from an elite private school is released from prison and a sociopath returns to haunt the detective.,1,6,Y+IS+FOR+YESTERDAY
9513,SULFUR SPRINGS,William Kent Krueger,Atria,"A newly married couple search for the wife's missing son, which leads them to a border town in the middle of a drug war.",9,1,SULFUR+SPRINGS
9519,MAP OF THE HEART,Susan Wiggs,Morrow,"Memories of World War II are stirred and passions ignited when Camille Adams travels with her daughter and father to Provence, France.",15,1,MAP+OF+THE+HEART
9520,GLASS HOUSES,Louise Penny,Minotaur,"When a body is discovered in Three Pines, Chief Superintendent Gamache regrets not acting on a hunch.",1,3,GLASS+HOUSES
9522,THE RIGHT TIME,Danielle Steel,Delacorte,"The author Alexandra Winslow, writing under the pseudonym Alexander Green, creates a double life that isolates her.",11,4,THE+RIGHT+TIME
9525,MY ABSOLUTE DARLING,Gabriel Tallent,Riverhead,A remarkably self-sufficient 14-year-old girl must fight to save herself from her abusive survivalist father.,13,3,MY+ABSOLUTE+DARLING
9529,STAR WARS: PHASMA,Delilah S Dawson,Del Rey,"Captain Phasma, officer of the First Order, battles a mysterious stormtrooper who is bent on unearthing her origins.",10,1,STAR+WARS:+PHASMA
9534,THE BURNING GIRL,Claire Messud,Norton,An intense friendship between Julia and Cassie is disrupted when they enter adolescence and Cassie's life unravels.,15,1,THE+BURNING+GIRL
9535,A LEGACY OF SPIES,John le Carré,Viking,"Peter Guillam, formerly of the British Secret Service, is pulled out of retirement to defend intelligence operations during the cold war that resulted in the deaths of people close to him.",1,6,A+LEGACY+OF+SPIES
9536,SECRETS IN DEATH,JD Robb,St. Martin's,"Lt. Eve Dallas investigates the murder of a professional gossip who dabbled in blackmail; by Nora Roberts, writing pseudonymously.",11,3,SECRETS+IN+DEATH
9537,ENEMY OF THE STATE,Kyle Mills,Emily Bestler/Atria,Vince Flynn's character Mitch Rapp leaves the C.I.A. to go on a manhunt when the nephew of a Saudi King finances a terrorist group.,15,5,ENEMY+OF+THE+STATE
9541,THE WESTERN STAR,Craig Johnson,Viking,The 13th Walt Longmire novel. A parole hearing of a serial killer and the decades-old memory of a train ride with Wyoming sheriffs put Longmire on a collision course between past and present.,7,1,THE+WESTERN+STAR
9543,DARK LEGACY,Christine Feehan,Berkley,"Emeline Sanchez fights to recover from exchanging blood with a master vampire, even as she tries to heal the children she saved from him. A Carpathian novel.",9,1,DARK+LEGACY
9546,PROOF OF LIFE,J A Jance,Morrow,"When J. P. Beaumont is asked to investigate the death of his nemesis, it leads to an old case once thought solved.",12,1,PROOF+OF+LIFE
9549,THE GOLDEN HOUSE,Salman Rushdie,Random House,The septuagenarian billionaire Nero Golden moves into Greenwich Village with his three sons and gets entangled with a sleek Russian expat.,15,1,THE+GOLDEN+HOUSE
9550,A COLUMN OF FIRE,Ken Follett,Viking,The lovers Ned Willard and Margery Fitzgerald find themselves on opposite sides of a conflict between English Catholics and Protestants while Queen Elizabeth fights to maintain her throne.,1,9,A+COLUMN+OF+FIRE
9551,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,Knopf,Lisbeth Salander teams up with an investigative journalist to uncover the secrets of her childhood. A continuation of Stieg Larsson's Millennium series.,10,8,THE+GIRL+WHO+TAKES+AN+EYE+FOR+AN+EYE
9552,ENEMY OF THE STATE,Kyle Mills,Atria/Emily Bestler,Vince Flynn's character Mitch Rapp leaves the C.I.A. to go on a manhunt when the nephew of a Saudi King finances a terrorist group.,15,5,ENEMY+OF+THE+STATE
9553,THE ROMANOV RANSOM,Clive Cussler and Robin Burcell,Putnam,Sam and Remi Fargo search for two missing filmmakers in North Africa and uncover a group seeking to create the Fourth Reich.,12,3,THE+ROMANOV+RANSOM
9556,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist with a mysterious past and a disregard for the status quo upends a quiet town outside Cleveland.,10,9,LITTLE+FIRES+EVERYWHERE
9557,ENIGMA,Catherine Coulter,Gallery Books,F.B.I. agents Savich and Sherlock team up with Cam Wittier and Jack Cabot to capture an international criminal and solve a John Doe case.,13,2,ENIGMA
9565,THE CUBAN AFFAIR,Nelson DeMille,Simon & Schuster,A Miami lawyer solicits an Army veteran to go on a secret mission to recover $60 million stashed away in Cuba.,1,6,THE+CUBAN+AFFAIR
9566,TO BE WHERE YOU ARE,Jan Karon,Putnam,The 14th novel in the Mitford series. Three generations of Kavanaghs face changes in their lives.,11,4,TO+BE+WHERE+YOU+ARE
9568,HAUNTED,James Patterson and James O Born,"Little, Brown",A detective from New York takes his family on a vacation in Maine and is enlisted by local cops to help solve a crime in the woods.,11,6,HAUNTED
9574,Y IS FOR YESTERDAY,Sue Grafton,Marian Wood/Putnam,The 25th Kinsey Millhone mystery novel.,1,6,Y+IS+FOR+YESTERDAY
9575,SECRETS IN DEATH,JD Robb,St. Martin's,"Lt. Eve Dallas investigates the murder of a professional gossip; by Nora Roberts, writing pseudonymously.",11,3,SECRETS+IN+DEATH
9578,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,10,9,BEFORE+WE+WERE+YOURS
9580,SLEEPING BEAUTIES,Stephen King and Owen King,Scribner,"In a small Appalachian town, women who fall asleep don't wake up and become shrouded in mysterious cocoons while the men battle one another.",1,9,SLEEPING+BEAUTIES
9581,DON'T LET GO,Harlan Coben,Dutton,Det. Napoleon Dumas investigates a murder and uncovers clues about the disappearance of his high school love and the death of his twin brother 15 years ago.,14,5,DON%27T+LET+GO
9594,"SING, UNBURIED, SING",Jesmyn Ward,Scribner,"A 13 year-old boy comes of age in Mississippi while his black mother takes him and his toddler sister to pick up their white father, who is getting released from the state penitentiary.",10,8,"SING,+UNBURIED,+SING"
9595,ORIGIN,Dan Brown,Doubleday,"After reconnecting with one of his first students, who is now a billionaire futurist, symbology professor Robert Langdon must go on a perilous quest with a beautiful museum director.",1,9,ORIGIN
9597,MANHATTAN BEACH,Jennifer Egan,Scribner,"Anna Kerrigan, the first female diver at the Brooklyn Naval Yard during World War II, meets with a man who helps her understand why her father disappeared.",12,7,MANHATTAN+BEACH
9598,A COLUMN OF FIRE,Ken Follett,Viking,A pair of lovers find themselves on opposite sides of a conflict while Queen Elizabeth fights to maintain her throne.,1,9,A+COLUMN+OF+FIRE
9599,DON'T LET GO,Harlan Coben,Dutton,Det. Napoleon Dumas investigates a murder and uncovers clues about personal events that happened 15 years ago.,14,5,DON%27T+LET+GO
9600,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,Knopf,Stieg Larsson's character Lisbeth Salander seeks to uncover the secrets of her childhood.,10,8,THE+GIRL+WHO+TAKES+AN+EYE+FOR+AN+EYE
9602,MERRY AND BRIGHT,Debbie Macomber,Ballantine,"A temp, who works for a strict and stressed boss is given a social life when family members create an online dating profile for her.",10,2,MERRY+AND+BRIGHT
9603,HAUNTED,James Patterson and James O Born,"Little, Brown",A New York detective on vacation in Maine is enlisted to help solve a crime in the woods.,11,6,HAUNTED
9604,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,10,9,LITTLE+FIRES+EVERYWHERE
9605,TO BE WHERE YOU ARE,Jan Karon,Putnam,The 14th novel in the Mitford series.,11,4,TO+BE+WHERE+YOU+ARE
9606,STAR WARS: FROM A CERTAIN POINT OF VIEW,various authors,Del Rey,"An anthology of short stories retells the original ""Star Wars"" from the point of view of supporting characters.",12,1,STAR+WARS:+FROM+A+CERTAIN+POINT+OF+VIEW
9607,WINTER SOLSTICE,Elin Hilderbrand,"Little, Brown",The Quinns celebrate the holidays when one family member returns from the war in Afghanistan but the gathering turns rocky.,13,1,WINTER+SOLSTICE
9608,A LEGACY OF SPIES,John le Carré,Viking,"Peter Guillam, formerly of the British Secret Service, is pulled out of retirement to defend intelligence operations during the cold war.",1,6,A+LEGACY+OF+SPIES
9609,ENEMY OF THE STATE,Kyle Mills,Atria/Emily Bestler,Vince Flynn's character Mitch Rapp goes on a manhunt.,15,5,ENEMY+OF+THE+STATE
9610,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,1,9,ORIGIN
9611,SLEEPING BEAUTIES,Stephen King and Owen King,Scribner,Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.,1,9,SLEEPING+BEAUTIES
9612,FAIRYTALE,Danielle Steel,Delacorte,Camille Lammenais returns from college to manage her family's winery in Napa Valley and is forced to deal with tragedy and unexpected dangers.,12,4,FAIRYTALE
9614,THE RULES OF MAGIC,Alice Hoffman,Simon & Schuster,Three singular siblings in the 1960s uncover secrets as they each try to break a family curse.,14,2,THE+RULES+OF+MAGIC
9616,MANHATTAN BEACH,Jennifer Egan,Scribner,The first female diver at the Brooklyn Naval Yard during World War II tries to understand why her father disappeared.,12,7,MANHATTAN+BEACH
9619,MERRY AND BRIGHT,Debbie Macomber,Ballantine,A temp is given a social life when family members create an online dating profile for her.,10,2,MERRY+AND+BRIGHT
9626,DEEP FREEZE,John Sandford,Putnam,"Virgil Flowers is called to investigate in Trippton, Minn., when a local bank's president is found dead in a nearly frozen river.",12,4,DEEP+FREEZE
9627,UNCOMMON TYPE,Tom Hanks,Knopf,"Seventeen short stories, each incorporating a typewriter, by the Academy Award-winning actor.",10,9,UNCOMMON+TYPE
9629,FAIRYTALE,Danielle Steel,Delacorte,Tragedy and unexpected dangers come to life at a Napa Valley winery.,12,4,FAIRYTALE
9634,IT DEVOURS!,Joseph Fink and Jeffrey Cranor,Harper Perennial,A female scientist investigates an unusual rumbling in an American Southwest desert and comes across a religious congregation planning a dangerous ritual.,10,1,IT+DEVOURS!
9640,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,1,9,THE+ROOSTER+BAR
9646,QUICK & DIRTY,Stuart Woods,Putnam,The New York lawyer Stone Barrington is hired to recover a stolen Van Gogh painting.,7,1,QUICK+&+DIRTY
9648,STRANGE WEATHER,Joe Hill,Morrow,A quartet of novellas involving the horrific and the supernatural.,9,1,STRANGE+WEATHER
9656,TWO KINDS OF TRUTH,Michael Connelly,"Little, Brown","While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.",10,9,TWO+KINDS+OF+TRUTH
9658,TWIN PEAKS: THE FINAL DOSSIER,Mark Frost,Flatiron Books,Updated profiles on the residents of Twin Peaks are assembled by special agent Tamara Preston.,4,1,TWIN+PEAKS:+THE+FINAL+DOSSIER
9664,IN THE MIDST OF WINTER,Isabel Allende,Atria,"The lives of a university professor, an undocumented worker and a Chilean academic intersect after a car accident during a snowstorm in Brooklyn.",10,2,IN+THE+MIDST+OF+WINTER
