,amazon_product_url,author,bestsellers_date,description,published_date,publisher,rank_last_week,rank_on_list,title,weeks_on_list,title_url,min_rank,max_weeks_on_list
8368,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,Anthony Doerr,2016-05-28,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,2016-06-12,Scribner,11,9,ALL THE LIGHT WE CANNOT SEE,108,ALL+THE+LIGHT+WE+CANNOT+SEE,1,99
8369,http://www.amazon.com/Everybodys-Fool-novel-Richard-Russo/dp/0307270645?tag=NYTBS-20,Richard Russo,2016-05-28,"We’re back in North Bath, N.Y., in a sequel to “Nobody’s Fool.”",2016-06-12,Knopf,8,10,EVERYBODY'S FOOL,4,EVERYBODY%27S+FOOL,10,4
8370,http://www.amazon.com/LaRose-A-Novel-Louise-Erdrich/dp/0062277022?tag=NYTBS-20,Louise Erdrich,2016-05-28,A North Dakota man who accidentally kills his best friend’s son gives up his own boy in exchange.,2016-06-12,Harper,16,11,LAROSE,3,LAROSE,11,3
8371,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,2016-05-28,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",2016-06-12,St. Martin's,14,12,THE NIGHTINGALE,65,THE+NIGHTINGALE,10,9
8372,http://www.amazon.com/Extreme-Prey-John-Sandford-ebook/dp/B013D664Q6?tag=NYTBS-20,John Sandford,2016-05-28,Lucas Davenport is in Iowa trying to foil a plot to assassinate a Hillary Clinton-like candidate. The 26th Lucas Davenport thriller.,2016-06-12,Putnam,9,13,EXTREME PREY,5,EXTREME+PREY,1,6
8373,http://www.amazon.com/Sweetbitter-novel-Stephanie-Danler-ebook/dp/B014NZJOF4?tag=NYTBS-20,Stephanie Danler,2016-05-28,A young woman moves to New York and experiences a sensual awakening while working at a famous restaurant.,2016-06-12,Knopf,0,14,SWEETBITTER,1,SWEETBITTER,10,5
8374,http://www.amazon.com/Beyond-Ice-Limit-Gideon-Novel-ebook/dp/B016JC0SPO?tag=NYTBS-20,Douglas Preston and Lincoln Child,2016-05-28,"In a sequel to “The Ice Limit” (2000), Gideon Crew pursues a meteorite that has sunk to the ocean floor. Or is it only a meteorite?",2016-06-12,Grand Central,7,15,BEYOND THE ICE LIMIT,2,BEYOND+THE+ICE+LIMIT,15,2
8375,http://www.amazon.com/The-Apartment-Novel-Danielle-Steel-ebook/dp/B017G7JXNE?tag=NYTBS-20,Danielle Steel,2016-05-28,Four young women share a Hell’s Kitchen loft.,2016-06-12,Delacorte,0,16,THE APARTMENT,0,THE+APARTMENT,13,3
8376,http://www.amazon.com/Sorcerers-Daughter-Defenders-Shannara/dp/0345540824?tag=NYTBS-20,Terry Brooks,2016-05-28,,2016-06-12,Del Rey,0,17,THE SORCERER'S DAUGHTER,0,THE+SORCERER%27S+DAUGHTER,17,0
8377,http://www.amazon.com/Second-Life-Nick-Mason-Novel-ebook/dp/B014EOUONU?tag=NYTBS-20,Steve Hamilton,2016-05-28,"A deal with a fellow inmate, a crime boss, springs Nick Mason from prison, but he must become an assassin.",2016-06-12,Putnam,0,18,THE SECOND LIFE OF NICK MASON,0,THE+SECOND+LIFE+OF+NICK+MASON,15,1
8378,http://www.amazon.com/Eligible-modern-retelling-Pride-Prejudice/dp/1400068320?tag=NYTBS-20,Curtis Sittenfeld,2016-05-28,"The author of “Prep” and “American Wife” retells “Pride and Prejudice,” set in the Cincinnati suburbs in the present.",2016-06-12,Random House,0,19,ELIGIBLE,0,ELIGIBLE,12,4
8379,http://www.amazon.com/Everyone-Brave-Forgiven-Chris-Cleave/dp/1501124374?tag=NYTBS-20,Chris Cleave,2016-05-28,A young woman teaching in London and a soldier fall in love amid war and personal losses in a novel loosely based on the life of Cleave’s grandparents,2016-06-12,Simon & Schuster,0,20,EVERYONE BRAVE IS FORGIVEN,0,EVERYONE+BRAVE+IS+FORGIVEN,15,2
8380,http://www.amazon.com/Emperors-Revenge-Oregon-Files/dp/0399175962?tag=NYTBS-20,Clive Cussler and Boyd Morrison,2016-06-04,Juan Cabrillo teams up with a former C.I.A. colleague to thwart a plan involving the death of millions and international economic meltdown.,2016-06-19,Putnam,0,1,THE EMPEROR'S REVENGE,1,THE+EMPEROR%27S+REVENGE,1,3
8381,http://www.amazon.com/Before-Fall-Noah-Hawley-ebook/dp/B0151YQUTE?tag=NYTBS-20,Noah Hawley,2016-06-04,"After a private jet crashes, a firestorm of media madness ensues.",2016-06-19,Grand Central,0,2,BEFORE THE FALL,1,BEFORE+THE+FALL,10,9
8382,http://www.amazon.com/Summer-Long-Dorothea-Benton-Frank-ebook/dp/B015MOCRMC?tag=NYTBS-20,Dorothea Benton Frank,2016-06-04,A successful interior decorator balks at retiring with her husband to South Carolina.,2016-06-19,Morrow/HarperCollins,0,3,ALL SUMMER LONG,1,ALL+SUMMER+LONG,16,3
8383,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,2016-06-04,A psychological thriller set in the environs of London.,2016-06-19,Riverhead,2,4,THE GIRL ON THE TRAIN,73,THE+GIRL+ON+THE+TRAIN,1,9
8384,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,Jojo Moyes,2016-06-04,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",2016-06-19,Pamela Dorman/Viking,7,5,AFTER YOU,15,AFTER+YOU,11,9
8385,http://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,James Patterson and Maxine Paetro,2016-06-04,"A brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, who turns for help to the Women's Murder Club.",2016-06-19,"Little, Brown",3,6,15TH AFFAIR,5,15TH+AFFAIR,1,7
8386,http://www.amazon.com/Hero-France-Novel-Alan-Furst-ebook/dp/B018CHH2A8?tag=NYTBS-20,Alan Furst,2016-06-04,A Resistance leader aids the wartime effort without losing sight of the simple and essential pleasures of life.,2016-06-19,Random House,0,7,A HERO OF FRANCE,1,A+HERO+OF+FRANCE,18,1
8387,http://www.amazon.com/Weekenders-Novel-Mary-Kay-Andrews-ebook/dp/B0177626W4?tag=NYTBS-20,Mary Kay Andrews,2016-06-04,"On North Carolina’s Belle Isle, a woman investigates her husband’s shady financial affairs after his mysterious death.",2016-06-19,St. Martin's,4,8,THE WEEKENDERS,3,THE+WEEKENDERS,11,5
8388,http://www.amazon.com/The-Last-Mile-Amos-Decker-ebook/dp/B016JC0THQ?tag=NYTBS-20,David Baldacci,2016-06-04,"In a sequel to “Memory Man,” Amos Decker helps the F.B.I. investigate the case of a killer who wins a reprieve.",2016-06-19,Grand Central,5,9,THE LAST MILE,7,THE+LAST+MILE,1,9
8389,http://www.amazon.com/The-Nest-Cynthia-DAprix-Sweeney-ebook/dp/B010LU8V8Q?tag=NYTBS-20,Cynthia D'Aprix Sweeney,2016-06-04,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.,2016-06-19,Ecco/HarperCollins,6,10,THE NEST,11,THE+NEST,10,9
8390,http://www.amazon.com/City-Mirrors-Novel-Passage-Trilogy-ebook/dp/B015BCWZWW?tag=NYTBS-20,Justin Cronin,2016-06-04,"The virals bent on destroying humanity seem to have been vanquished, only to rise again.",2016-06-19,Ballantine,1,11,THE CITY OF MIRRORS,2,THE+CITY+OF+MIRRORS,1,3
